month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,cat,date,year,t,ln_p,ln_q,oversub,d_ln_p,d_ln_q,ln_p_lag
2021-07,2,Category D,655,649,863,8689,D,2021-07-15,2021,11.541666666666666,9.069813136839207,6.484635235635252,1.317557251908397,0.0217564279204705,0.061388272101732255,9.048056708918736
2021-08,1,Category D,449,449,667,8899,D,2021-08-01,2021,11.583333333333334,9.093694189856862,6.1070228877422545,1.4855233853006682,0.023881053017655418,-0.37761234789299714,9.069813136839207
2021-08,2,Category D,451,447,635,9500,D,2021-08-15,2021,11.625,9.159047077588632,6.111467339502679,1.4079822616407982,0.06535288773176973,0.004444451760424073,9.093694189856862
2021-09,1,Category D,445,445,562,9689,D,2021-09-01,2021,11.666666666666666,9.178746500385005,6.09807428216624,1.2629213483146067,0.019699422796373156,-0.013393057336438474,9.159047077588632
2021-09,2,Category D,449,443,658,9089,D,2021-09-15,2021,11.708333333333332,9.11482017011877,6.1070228877422545,1.465478841870824,-0.06392633026623429,0.008948605576014401,9.178746500385005
2021-10,1,Category D,444,438,633,9052,D,2021-10-01,2021,11.75,9.110741006753427,6.095824562432225,1.4256756756756757,-0.004079163365343419,-0.011198325310029844,9.11482017011877
2021-10,2,Category D,450,449,597,9310,D,2021-10-15,2021,11.791666666666666,9.138844370271112,6.1092475827643655,1.3266666666666667,0.028103363517685054,0.013423020332140823,9.110741006753427
2021-11,1,Category D,417,409,543,9381,D,2021-11-01,2021,11.833333333333334,9.14644164612595,6.0330862217988015,1.3021582733812949,0.007597275854838159,-0.07616136096556403,9.138844370271112
2021-11,2,Category D,412,397,557,9381,D,2021-11-15,2021,11.875,9.14644164612595,6.021023349349527,1.3519417475728155,0.0,-0.012062872449274842,9.14644164612595
2021-12,1,Category D,420,400,584,9401,D,2021-12-01,2021,11.916666666666666,9.148571345578551,6.040254711277414,1.3904761904761904,0.002129699452600775,0.019231361927887214,9.14644164612595
2021-12,2,Category D,426,422,562,9601,D,2021-12-15,2021,11.958333333333332,9.169622538697624,6.054439346269371,1.3192488262910798,0.021051193119072664,0.01418463499195699,9.148571345578551
2022-01,1,Category D,431,429,573,9689,D,2022-01-01,2022,12.0,9.178746500385005,6.066108090103747,1.3294663573085848,0.009123961687381055,0.01166874383437655,9.169622538697624
2022-01,2,Category D,416,401,520,10000,D,2022-01-15,2022,12.041666666666666,9.210340371976184,6.030685260261263,1.25,0.03159387159117877,-0.03542282984248413,9.178746500385005
2022-02,1,Category D,406,405,555,10010,D,2022-02-01,2022,12.083333333333334,9.211339872309265,6.0063531596017325,1.3669950738916257,0.0009995003330818264,-0.02433210065953073,9.210340371976184
2022-02,2,Category D,420,416,521,10589,D,2022-02-15,2022,12.125,9.267571005430455,6.040254711277414,1.2404761904761905,0.0562311331211891,0.03390155167568132,9.211339872309265
2022-03,1,Category D,405,403,602,11400,D,2022-03-01,2022,12.166666666666666,9.341368634382587,6.003887067106539,1.4864197530864198,0.07379762895213204,-0.036367644170875124,9.267571005430455
2022-03,2,Category D,409,409,575,10501,D,2022-03-15,2022,12.208333333333332,9.259225769705994,6.013715156042802,1.4058679706601467,-0.08214286467659271,0.009828088936263413,9.341368634382587
2022-04,1,Category D,407,405,561,10503,D,2022-04-01,2022,12.25,9.259416209622776,6.008813185442595,1.3783783783783783,0.00019043991678202588,-0.004901970600207584,9.259225769705994
2022-04,2,Category D,404,355,539,9801,D,2022-04-15,2022,12.291666666666666,9.19023970026918,6.0014148779611505,1.3341584158415842,-0.06917650935359632,-0.0073983074814441,9.259416209622776
2022-05,1,Category D,563,560,773,9489,D,2022-05-01,2022,12.333333333333334,9.15788851197376,6.333279628139691,1.3730017761989344,-0.032351188295420386,0.3318647501785401,9.19023970026918
2022-05,2,Category D,609,600,899,9490,D,2022-05-15,2022,12.375,9.157993891603974,6.411818267709897,1.4761904761904763,0.00010537963021484131,0.07853863957020657,9.15788851197376
2022-06,1,Category D,563,542,859,10000,D,2022-06-01,2022,12.416666666666666,9.210340371976184,6.333279628139691,1.5257548845470692,0.05234648037220957,-0.07853863957020657,9.157993891603974
2022-06,2,Category D,570,570,717,10302,D,2022-06-15,2022,12.458333333333332,9.24009333012553,6.345636360828596,1.2578947368421052,0.029752958149346753,0.01235673268890558,9.210340371976184
2022-07,1,Category D,582,513,768,10889,D,2022-07-01,2022,12.5,9.29550838434606,6.366470447731438,1.3195876288659794,0.05541505422053028,0.020834086902842053,9.24009333012553
2022-07,2,Category D,561,555,723,10910,D,2022-07-15,2022,12.541666666666666,9.297435078827116,6.329720905522696,1.2887700534759359,0.0019266944810549802,-0.03674954220874227,9.29550838434606
2022-08,1,Category D,573,562,696,11000,D,2022-08-01,2022,12.583333333333334,9.305650551780507,6.35088571671474,1.2146596858638743,0.008215472953391867,0.021164811192043942,9.297435078827116
2022-08,2,Category D,510,502,673,11101,D,2022-08-15,2022,12.625,9.314790473332646,6.234410725718371,1.3196078431372549,0.00913992155213883,-0.11647499099636871,9.305650551780507
2022-09,1,Category D,515,514,588,11301,D,2022-09-01,2022,12.666666666666666,9.332646496360152,6.244166900663736,1.141747572815534,0.01785602302750533,0.009756174945365181,9.314790473332646
2022-09,2,Category D,512,500,658,11589,D,2022-09-15,2022,12.708333333333332,9.35781165133439,6.238324625039508,1.28515625,0.0251651549742391,-0.005842275624228677,9.332646496360152
2022-10,1,Category D,505,504,624,11751,D,2022-10-01,2022,12.75,9.371693622333941,6.22455842927536,1.2356435643564356,0.013881970999550575,-0.013766195764147504,9.35781165133439
2022-10,2,Category D,516,511,632,12801,D,2022-10-15,2022,12.791666666666666,9.45727857185611,6.246106765481563,1.2248062015503876,0.08558494952216833,0.021548336206202556,9.371693622333941
2022-11,1,Category D,441,440,537,13189,D,2022-11-01,2022,12.833333333333334,9.487138427825885,6.089044875446846,1.217687074829932,0.02985985596977514,-0.1570618900347167,9.45727857185611
2022-11,2,Category D,445,420,594,12589,D,2022-11-15,2022,12.875,9.44057869576626,6.09807428216624,1.3348314606741574,-0.0465597320596256,0.009029406719394117,9.487138427825885
2022-12,1,Category D,441,437,544,12100,D,2022-12-01,2022,12.916666666666666,9.400960731584833,6.089044875446846,1.2335600907029478,-0.039617964181426046,-0.009029406719394117,9.44057869576626
2022-12,2,Category D,465,461,647,11690,D,2022-12-15,2022,12.958333333333332,9.366489054466115,6.142037405587356,1.3913978494623656,-0.03447167711871835,0.052992530140509864,9.400960731584833
2023-01,1,Category D,445,432,678,10890,D,2023-01-01,2023,13.0,9.295600215927006,6.09807428216624,1.5235955056179775,-0.07088883853910843,-0.043963123421115746,9.366489054466115
2023-01,2,Category D,445,431,572,11101,D,2023-01-15,2023,13.041666666666666,9.314790473332646,6.09807428216624,1.2853932584269663,0.019190257405639954,0.0,9.295600215927006
2023-02,1,Category D,477,475,594,11602,D,2023-02-01,2023,13.083333333333334,9.358932776026009,6.1675164908883415,1.2452830188679245,0.04414230269336272,0.06944220872210138,9.314790473332646
2023-02,2,Category D,479,453,611,12189,D,2023-02-15,2023,13.125,9.408289184655837,6.171700597410915,1.2755741127348643,0.04935640862982815,0.004184106522573394,9.358932776026009
2023-03,1,Category D,467,465,566,12390,D,2023-03-01,2023,13.166666666666666,9.424644974623188,6.1463292576688975,1.2119914346895075,0.016355789967350987,-0.02537133974201744,9.408289184655837
2023-03,2,Category D,490,490,616,12001,D,2023-03-15,2023,13.208333333333332,9.392745258631441,6.194405391104672,1.2571428571428571,-0.0318997159917469,0.04807613343577444,9.424644974623188
2023-04,1,Category D,466,454,529,12001,D,2023-04-01,2023,13.25,9.392745258631441,6.144185634125646,1.1351931330472103,0.0,-0.050219756979026364,9.392745258631441
2023-04,2,Category D,465,436,510,12179,D,2023-04-15,2023,13.291666666666666,9.407468436087111,6.142037405587356,1.096774193548387,0.014723177455669756,-0.002148228538289665,9.392745258631441
2023-05,1,Category D,554,542,670,5002,D,2023-05-01,2023,13.333333333333334,8.517593111437565,6.317164686747284,1.2093862815884477,-0.8898753246495463,0.17512728115992804,9.407468436087111
2023-05,2,Category D,571,562,1438,10602,D,2023-05-15,2023,13.375,9.268797941547751,6.3473892096560105,2.5183887915936953,0.7512048301101864,0.03022452290872657,8.517593111437565
2023-06,1,Category D,555,519,972,11001,D,2023-06-01,2023,13.416666666666666,9.305741456739435,6.318968113746434,1.7513513513513514,0.03694351519168393,-0.02842109590957609,9.268797941547751
2023-06,2,Category D,551,543,796,10709,D,2023-06-15,2023,13.458333333333332,9.278839788400875,6.311734809152915,1.4446460980036298,-0.026901668338560114,-0.007233304593519563,9.305741456739435
2023-07,1,Category D,579,550,846,10090,D,2023-07-01,2023,13.5,9.219300113347655,6.361302477572996,1.461139896373057,-0.059539675053219554,0.04956766842008076,9.278839788400875
2023-07,2,Category D,551,550,840,10501,D,2023-07-15,2023,13.541666666666666,9.259225769705994,6.311734809152915,1.5245009074410163,0.03992565635833856,-0.04956766842008076,9.219300113347655
2023-08,1,Category D,522,443,759,11501,D,2023-08-01,2023,13.583333333333334,9.350189267092581,6.257667587882639,1.4540229885057472,0.09096349738658738,-0.054067221270275745,9.259225769705994
2023-08,2,Category D,495,486,654,11402,D,2023-08-15,2023,13.625,9.341544057591527,6.20455776256869,1.3212121212121213,-0.008645209501054296,-0.05310982531394881,9.350189267092581
2023-09,1,Category D,573,569,758,10901,D,2023-09-01,2023,13.666666666666666,9.296609807128359,6.35088571671474,1.3228621291448517,-0.04493425046316801,0.1463279541460496,9.341544057591527
2023-09,2,Category D,502,494,639,10700,D,2023-09-15,2023,13.708333333333332,9.277999020449997,6.218600119691729,1.2729083665338645,-0.018610786678362246,-0.13228559702301101,9.296609807128359
2023-10,1,Category D,497,494,661,10856,D,2023-10-01,2023,13.75,9.292473201514705,6.208590026096629,1.3299798792756539,0.014474181064707992,-0.010010093595099967,9.277999020449997
2023-10,2,Category D,502,474,632,11201,D,2023-10-15,2023,13.791666666666666,9.32375833901174,6.218600119691729,1.2589641434262948,0.031285137497034654,0.010010093595099967,9.292473201514705
2023-11,1,Category D,520,512,630,10889,D,2023-11-01,2023,13.833333333333334,9.29550838434606,6.253828811575473,1.2115384615384615,-0.0282499546656787,0.03522869188374411,9.32375833901174
2023-11,2,Category D,545,518,702,10001,D,2023-11-15,2023,13.875,9.210440366976517,6.300785794663244,1.2880733944954128,-0.08506801736954372,0.046956983087770965,9.29550838434606
2023-12,1,Category D,529,527,731,9858,D,2023-12-01,2023,13.916666666666666,9.196038587265322,6.270988431858299,1.3818525519848772,-0.014401779711194607,-0.029797362804944605,9.210440366976517
2023-12,2,Category D,546,545,646,9002,D,2023-12-15,2023,13.958333333333332,9.105202053852878,6.302618975744905,1.1831501831501832,-0.09083653341244435,0.0316305438866058,9.196038587265322
2024-01,1,Category D,523,514,666,9114,D,2024-01-01,2024,14.0,9.117566971823829,6.259581464064923,1.2734225621414914,0.012364917970950629,-0.04303751167998193,9.105202053852878
2024-01,2,Category D,520,491,615,9309,D,2024-01-15,2024,14.041666666666666,9.13873695311649,6.253828811575473,1.1826923076923077,0.021169981292661788,-0.005752652489450227,9.117566971823829
2024-02,1,Category D,530,528,717,9290,D,2024-02-01,2024,14.083333333333334,9.136693831807884,6.272877006546167,1.3528301886792453,-0.0020431213086062883,0.019048194970694432,9.13873695311649
2024-02,2,Category D,548,548,689,8911,D,2024-02-15,2024,14.125,9.09504174761272,6.306275286948016,1.2572992700729928,-0.04165208419516375,0.033398280401848446,9.136693831807884
2024-03,1,Category D,520,518,646,9400,D,2024-03-01,2024,14.166666666666666,9.148464968258095,6.253828811575473,1.2423076923076923,0.053423220645374414,-0.05244647537254288,9.09504174761272
2024-03,2,Category D,521,516,629,9689,D,2024-03-15,2024,14.208333333333332,9.178746500385005,6.255750041753367,1.2072936660268714,0.030281532126910093,0.0019212301778939178,9.148464968258095
2024-04,1,Category D,520,510,610,10000,D,2024-04-01,2024,14.25,9.210340371976184,6.253828811575473,1.1730769230769231,0.03159387159117877,-0.0019212301778939178,9.178746500385005
2024-04,2,Category D,522,514,625,9990,D,2024-04-15,2024,14.291666666666666,9.2093398716426,6.257667587882639,1.1973180076628354,-0.001000500333583787,0.003838776307166114,9.210340371976184
2024-05,1,Category D,528,528,630,9503,D,2024-05-01,2024,14.333333333333334,9.159362817211315,6.269096283706261,1.1931818181818181,-0.04997705443128453,0.01142869582362227,9.2093398716426
2024-05,2,Category D,526,523,604,9311,D,2024-05-15,2024,14.375,9.138951775888529,6.26530121273771,1.1482889733840305,-0.02041104132278626,-0.0037950709685512507,9.159362817211315
2024-06,1,Category D,519,519,628,8989,D,2024-06-01,2024,14.416666666666666,9.103756886573398,6.251903883165888,1.210019267822736,-0.035194889315130595,-0.013397329571821714,9.138951775888529
2024-06,2,Category D,520,519,620,9002,D,2024-06-15,2024,14.458333333333332,9.105202053852878,6.253828811575473,1.1923076923076923,0.00144516727947952,0.0019249284095845809,9.103756886573398
2024-07,1,Category D,517,517,571,8900,D,2024-07-01,2024,14.5,9.093806555720231,6.248042874508429,1.1044487427466152,-0.011395498132646509,-0.005785937067043889,9.105202053852878
2024-07,2,Category D,518,512,591,9089,D,2024-07-15,2024,14.541666666666666,9.11482017011877,6.249975242259483,1.140926640926641,0.021013614398539104,0.001932367751053654,9.093806555720231
2024-08,1,Category D,517,513,599,9601,D,2024-08-01,2024,14.583333333333334,9.169622538697624,6.248042874508429,1.1586073500967118,0.05480236857885323,-0.001932367751053654,9.11482017011877
2024-08,2,Category D,523,522,614,9310,D,2024-08-15,2024,14.625,9.138844370271112,6.259581464064923,1.1739961759082218,-0.0307781684265116,0.011538589556494117,9.169622538697624
2024-09,1,Category D,522,520,622,9801,D,2024-09-01,2024,14.666666666666666,9.19023970026918,6.257667587882639,1.1915708812260537,0.051395329998067396,-0.0019138761822841133,9.138844370271112
2024-09,2,Category D,520,516,636,9900,D,2024-09-15,2024,14.708333333333332,9.20029003612268,6.253828811575473,1.2230769230769232,0.010050335853501124,-0.003838776307166114,9.19023970026918
2024-10,1,Category D,520,519,604,10001,D,2024-10-01,2024,14.75,9.210440366976517,6.253828811575473,1.1615384615384616,0.01015033085383621,0.0,9.20029003612268
2024-10,2,Category D,522,515,626,9589,D,2024-10-15,2024,14.791666666666666,9.16837188715368,6.257667587882639,1.1992337164750957,-0.042068479822836125,0.003838776307166114,9.210440366976517
2024-11,1,Category D,520,520,598,9089,D,2024-11-01,2024,14.833333333333334,9.11482017011877,6.253828811575473,1.15,-0.05355171703491024,-0.003838776307166114,9.16837188715368
2024-11,2,Category D,524,524,637,8669,D,2024-11-15,2024,14.875,9.06750872286864,6.261491684321042,1.215648854961832,-0.04731144725013081,0.007662872745568983,9.11482017011877
2024-12,1,Category D,517,516,570,7878,D,2024-12-01,2024,14.916666666666666,8.971829343530851,6.248042874508429,1.1025145067698259,-0.09567937933778836,-0.013448809812612872,9.06750872286864
2024-12,2,Category D,519,504,641,8381,D,2024-12-15,2024,14.958333333333332,9.033722518098907,6.251903883165888,1.235067437379576,0.06189317456805554,0.0038610086574593083,8.971829343530851
2025-01,1,Category D,520,513,595,9001,D,2025-01-01,2025,15.0,9.105090961257085,6.253828811575473,1.1442307692307692,0.07136844315817825,0.0019249284095845809,9.033722518098907
2025-01,2,Category D,536,530,651,7721,D,2025-01-15,2025,15.041666666666666,8.951699168308815,6.284134161070802,1.2145522388059702,-0.15339179294826977,0.030305349495328926,9.105090961257085
2025-02,1,Category D,524,523,718,8289,D,2025-02-01,2025,15.083333333333334,9.022684613591526,6.261491684321042,1.3702290076335877,0.07098544528271056,-0.022642476749759943,8.951699168308815
2025-02,2,Category D,524,517,645,8791,D,2025-02-15,2025,15.125,9.081483749851179,6.261491684321042,1.2309160305343512,0.05879913625965294,0.0,9.022684613591526
2025-03,1,Category D,519,519,624,9201,D,2025-03-01,2025,15.166666666666666,9.127067452782361,6.251903883165888,1.2023121387283238,0.0455837029311823,-0.009587801155153564,9.081483749851179
2025-03,2,Category D,525,525,626,9511,D,2025-03-15,2025,15.208333333333332,9.160204302482386,6.263398262591624,1.1923809523809523,0.03313684970002484,0.011494379425735168,9.127067452782361
2025-04,1,Category D,517,515,603,9889,D,2025-04-01,2025,15.25,9.19917830726999,6.248042874508429,1.1663442940038684,0.0389740047876046,-0.015355388083194477,9.160204302482386
2025-04,2,Category D,519,518,660,9309,D,2025-04-15,2025,15.291666666666666,9.13873695311649,6.251903883165888,1.2716763005780347,-0.06044135415350027,0.0038610086574593083,9.19917830726999
2025-05,1,Category D,536,532,676,8709,D,2025-05-01,2025,15.333333333333334,9.07211225269274,6.284134161070802,1.2611940298507462,-0.06662470042375013,0.03223027790491351,9.13873695311649
